section,slug,original_name,cleaned_name,source
beisen,csc108,中信建投,中信建投,unchanged
beisen,cicc,中金公司,中金公司,unchanged
beisen,guosen,国信证券,国信证券,unchanged
beisen,mintai,浙江民泰商业银行,浙江民泰商业银行,unchanged
beisen,7sef,七色纺商业连锁有限公司,七色纺商业连锁有限公司,unchanged
beisen,acpl-cummins,安徽康明斯,安徽康明斯,unchanged
beisen,actionstech,炬芯科技,炬芯科技,unchanged
beisen,actri,中国航空工业集团公司西安航空计算技术研究所,中国航空工业集团公司西安航空计算技术研究所,unchanged
beisen,adaps-ph,灵明光子,灵明光子,unchanged
beisen,ahxunying,安徽巡鹰新能源集团有限公司,安徽巡鹰新能源集团有限公司,unchanged
beisen,aimer,爱慕集团,爱慕集团,unchanged
beisen,aimsphm,安脉盛,安脉盛,unchanged
beisen,ainuo,艾诺仪器公司,艾诺仪器公司,unchanged
beisen,aipower,仪电智算,仪电智算,unchanged
beisen,aispeech,思必驰科技股份有限公司,思必驰科技股份有限公司,unchanged
beisen,aiva,AIVA汽车校园招聘门户网,AIVA汽车,table
beisen,altobeam,高拓讯达(北京)微电子股份有限公司,高拓讯达(北京)微电子股份有限公司,unchanged
beisen,amies,芯上微装,芯上微装,unchanged
beisen,amlogicsh,晶晨半导体,晶晨半导体,unchanged
beisen,ankai,安凯,安凯,unchanged
beisen,anycubic,纵维立方,纵维立方,unchanged
beisen,aosom1,遨森电商,遨森电商,unchanged
beisen,asiacore,亚中医疗,亚中医疗,unchanged
beisen,asustek,华硕科技（苏州）有限公司,华硕科技（苏州）有限公司,unchanged
beisen,asymchem,凯莱英,凯莱英,unchanged
beisen,atazpower,广州旭之源科技有限公司,广州旭之源科技有限公司,unchanged
beisen,avicasri,强度所,强度所,unchanged
beisen,avicbs,航空工业宝胜,航空工业宝胜,unchanged
beisen,avicmti,中国航空制造技术研究院,中国航空制造技术研究院,unchanged
beisen,avicsz,中航科创,中航科创,unchanged
beisen,aviczp,哈尔滨飞机工业集团有限责任公司,哈尔滨飞机工业集团有限责任公司,unchanged
beisen,awinic1,艾为电子|中国数模龙头|艾为,艾为电子,table
beisen,babybus,宝宝巴士,宝宝巴士,unchanged
beisen,babycare,Babycare招聘官网-今天你投简历了吗？,Babycare,table
beisen,baictruck,北汽重卡,北汽重卡,unchanged
beisen,bamatea,八马茶业股份有限公司,八马茶业股份有限公司,unchanged
beisen,bdstar,北斗星通,北斗星通,unchanged
beisen,befar,滨化集团,滨化集团,unchanged
beisen,bestsemi,屹唐半导体,屹唐半导体,unchanged
beisen,bfhc1,华丞电子,华丞电子,unchanged
beisen,bgechina1,高能环境,高能环境,unchanged
beisen,bicheng,碧橙数字,碧橙数字,unchanged
beisen,biwin1,佰维存储,佰维存储,unchanged
beisen,bj-tct,交控科技股份有限公司,交控科技股份有限公司,unchanged
beisen,bjsubway,北京地铁,北京地铁,unchanged
beisen,blueswords,兰剑智能,兰剑智能,unchanged
beisen,bmc-medical,BMC瑞迈特集团招聘门户,BMC瑞迈特,table
beisen,bodor,济南邦德激光股份有限公司,济南邦德激光股份有限公司,unchanged
beisen,bomc,中山大洋电机股份有限公司,中山大洋电机股份有限公司,unchanged
beisen,bpsemi,晶丰明源网申,晶丰明源,table
beisen,britesemi,灿芯半导体,灿芯半导体,unchanged
beisen,capchem,深圳新宙邦科技股份有限公司,深圳新宙邦科技股份有限公司,unchanged
beisen,careerktc,深圳市康冠科技股份有限公司,深圳市康冠科技股份有限公司,unchanged
beisen,cas-space,中科宇航,中科宇航,unchanged
beisen,casco,卡斯柯信号有限公司,卡斯柯信号有限公司,unchanged
beisen,cast,航天五院遥感部,航天五院遥感部,unchanged
beisen,catic,中航技,中航技,unchanged
beisen,ccgrass,共创草坪,共创草坪,unchanged
beisen,cetc36,中国电子科技集团公司第三十六研究所0607,中国电科三十六所,table
beisen,cfmee,芯碁微装,芯碁微装,unchanged
beisen,chang-qiang,长强系统,长强系统,unchanged
beisen,charleskeith,桦洁商贸（上海）有限公司,桦洁商贸（上海）有限公司,unchanged
beisen,chempartner,睿智医药,睿智医药,unchanged
beisen,chinacamel1,骆驼集团股份有限公司,骆驼集团股份有限公司,unchanged
beisen,chinaecec,中国化学东华公司,中国化学东华公司,unchanged
beisen,chipsea,芯海科技,芯海科技,unchanged
