=== ByteDance harvest from offset 700 ===
Start: 2026-09-10T18:11:52.800753
API total: 10000
offset=700: scanned=100, campus=33, total_collected=33, streak=0
offset=800: scanned=100, campus=40, total_collected=73, streak=0
offset=900: scanned=100, campus=40, total_collected=113, streak=0
offset=1000: scanned=100, campus=54, total_collected=167, streak=0
offset=1100: scanned=100, campus=47, total_collected=214, streak=0
offset=1200: scanned=100, campus=50, total_collected=264, streak=0
offset=1300: scanned=100, campus=54, total_collected=318, streak=0
offset=1400: scanned=100, campus=56, total_collected=374, streak=0
offset=1500: scanned=100, campus=42, total_collected=416, streak=0
offset=1600: scanned=100, campus=57, total_collected=473, streak=0
offset=1700: scanned=100, campus=50, total_collected=523, streak=0
offset=1800: scanned=100, campus=52, total_collected=575, streak=0
offset=1900: scanned=100, campus=51, total_collected=626, streak=0
offset=2000: scanned=100, campus=46, total_collected=672, streak=0
offset=2100: scanned=100, campus=70, total_collected=742, streak=0
offset=2200: scanned=100, campus=46, total_collected=788, streak=0
offset=2300: scanned=100, campus=52, total_collected=840, streak=0
offset=2400: scanned=100, campus=59, total_collected=899, streak=0
offset=2500: scanned=100, campus=52, total_collected=951, streak=0
offset=2600: scanned=100, campus=47, total_collected=998, streak=0
offset=2700: scanned=100, campus=55, total_collected=1053, streak=0
offset=2800: scanned=100, campus=56, total_collected=1109, streak=0
offset=2900: scanned=100, campus=69, total_collected=1178, streak=0
offset=3000: scanned=100, campus=46, total_collected=1224, streak=0
offset=3100: scanned=100, campus=53, total_collected=1277, streak=0
offset=3200: scanned=100, campus=47, total_collected=1324, streak=0
offset=3300: scanned=100, campus=38, total_collected=1362, streak=0
offset=3400: scanned=100, campus=49, total_collected=1411, streak=0
offset=3500: scanned=100, campus=55, total_collected=1466, streak=0
offset=3600: scanned=100, campus=55, total_collected=1521, streak=0
offset=3700: scanned=100, campus=45, total_collected=1566, streak=0
offset=3800: scanned=100, campus=54, total_collected=1620, streak=0
offset=3900: scanned=100, campus=49, total_collected=1669, streak=0
offset=4000: scanned=100, campus=53, total_collected=1722, streak=0
offset=4100: scanned=100, campus=47, total_collected=1769, streak=0
offset=4200: scanned=100, campus=51, total_collected=1820, streak=0
offset=4300: scanned=100, campus=41, total_collected=1861, streak=0
offset=4400: scanned=100, campus=48, total_collected=1909, streak=0
offset=4500: scanned=100, campus=45, total_collected=1954, streak=0
offset=4600: scanned=100, campus=36, total_collected=1990, streak=0
offset=4700: scanned=100, campus=36, total_collected=2026, streak=0
offset=4800: scanned=100, campus=56, total_collected=2082, streak=0
offset=4900: scanned=100, campus=39, total_collected=2121, streak=0
offset=5000: scanned=100, campus=36, total_collected=2157, streak=0
offset=5100: scanned=100, campus=38, total_collected=2195, streak=0
offset=5200: scanned=100, campus=48, total_collected=2243, streak=0
offset=5300: scanned=100, campus=37, total_collected=2280, streak=0
offset=5400: scanned=100, campus=50, total_collected=2330, streak=0
offset=5500: scanned=100, campus=45, total_collected=2375, streak=0
offset=5600: scanned=100, campus=42, total_collected=2417, streak=0
offset=5700: scanned=100, campus=39, total_collected=2456, streak=0
offset=5800: scanned=100, campus=42, total_collected=2498, streak=0
offset=5900: scanned=100, campus=36, total_collected=2534, streak=0
offset=6000: scanned=100, campus=46, total_collected=2580, streak=0
offset=6100: scanned=100, campus=33, total_collected=2613, streak=0
offset=6200: scanned=100, campus=44, total_collected=2657, streak=0
offset=6300: scanned=100, campus=41, total_collected=2698, streak=0
offset=6400: scanned=100, campus=39, total_collected=2737, streak=0
offset=6500: scanned=100, campus=38, total_collected=2775, streak=0
offset=6600: scanned=100, campus=38, total_collected=2813, streak=0
offset=6700: scanned=100, campus=41, total_collected=2854, streak=0
offset=6800: scanned=100, campus=29, total_collected=2883, streak=0
offset=6900: scanned=100, campus=38, total_collected=2921, streak=0
offset=7000: scanned=100, campus=39, total_collected=2960, streak=0
offset=7100: scanned=100, campus=32, total_collected=2992, streak=0
offset=7200: scanned=100, campus=26, total_collected=3018, streak=0
offset=7300: scanned=100, campus=42, total_collected=3060, streak=0
offset=7400: scanned=100, campus=40, total_collected=3100, streak=0
offset=7500: scanned=100, campus=49, total_collected=3149, streak=0
offset=7600: scanned=100, campus=38, total_collected=3187, streak=0
offset=7700: scanned=100, campus=33, total_collected=3220, streak=0
offset=7800: scanned=100, campus=29, total_collected=3249, streak=0
offset=7900: scanned=100, campus=41, total_collected=3290, streak=0
offset=8000: scanned=100, campus=36, total_collected=3326, streak=0
offset=8100: scanned=100, campus=27, total_collected=3353, streak=0
offset=8200: scanned=100, campus=43, total_collected=3396, streak=0
offset=8300: scanned=100, campus=35, total_collected=3431, streak=0
offset=8400: scanned=100, campus=16, total_collected=3447, streak=0
offset=8500: scanned=100, campus=35, total_collected=3482, streak=0
offset=8600: scanned=100, campus=36, total_collected=3518, streak=0
offset=8700: scanned=100, campus=31, total_collected=3549, streak=0
offset=8800: scanned=100, campus=38, total_collected=3587, streak=0
offset=8900: scanned=100, campus=36, total_collected=3623, streak=0
offset=9000: scanned=100, campus=47, total_collected=3670, streak=0
