job_id,岗位名称,公司名称,招聘单位,行业,招聘性质,毕业届别,工作地点,岗位大类,投递截止,截止类型,原链接,投递入口,来源,状态,复核时间,备注
postal-CC360925120J40906453313,金融财务类,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,北京,财务专员/助理,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40906453313,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40906453313,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40906331113,邮政研究所-邮政战略及业务研究岗,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,北京,用户研究员,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40906331113,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40906331113,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40905276213,包头市分公司本部-综合岗（含职能及营销类岗位）,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,包头,运营经理/总监,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40905276213,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40905276213,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40905144513,物流业务分公司-客户经理,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,西安,大堂经理,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40905144513,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40905144513,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40905020613,县分公司-储蓄营业员,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,阿里,运营助理/专员,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40905020613,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40905020613,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40904862813,生产管控部-信息系统岗,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,南京,风控,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40904862813,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40904862813,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40904815813,设计编审部-邮品设计,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,北京,美编,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40904815813,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40904815813,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40907066813,云南省分公司本部-管培生（财务）,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,昆明,管培生/储备干部,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40907066813,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40907066813,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40907150213,省本部办公室-综合秘书,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,武汉,秘书/文员,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40907150213,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40907150213,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40907234813,各县、区分公司-金融柜员岗,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,湘西,柜员,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40907234813,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40907234813,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40907200813,综合办公室-法务岗,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,萍乡,法律顾问,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40907200813,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40907200813,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
postal-CC360925120J40907100013,教学、科研或管理岗位,中国邮政集团有限公司,中国邮政集团有限公司,邮政物流,校招,2027届,石家庄,大学教师,2026-10-31,明确,https://xiaoyuan.zhaopin.com/job/CC360925120J40907100013,https://campus1.zhaopin.com/Resume/CheckIntoApp?pid=CC360925120J40907100013,中国邮政官网授权2027校招专场,open,2026-09-10 06:10:06,
guopin-215265732735272466,人工智能工程师,中国联合网络通信集团有限公司,中国联合网络通信集团有限公司,通信运营,校招,中国联通2027校园招聘,天津,,2027-08-31,明确,https://www.iguopin.com/job/detail?id=215265732735272466,https://www.iguopin.com/job/detail?id=215265732735272466,国聘官方企业校招专场：中国联合网络通信集团有限公司,open,2026-09-10 01:09:45,
guopin-215410841258821186,解决方案工程师,中国联合网络通信集团有限公司,中国联合网络通信集团有限公司,通信运营,校招,中国联通2027校园招聘,上海,不限职位,2027-08-31,明确,https://www.iguopin.com/job/detail?id=215410841258821186,https://www.iguopin.com/job/detail?id=215410841258821186,国聘官方企业校招专场：中国联合网络通信集团有限公司,open,2026-09-10 01:10:26,
guopin-217156016695935963,人力资源岗(组织与人才管理方向)(J10898),中国联合网络通信集团有限公司,中国联合网络通信集团有限公司,通信运营,校招,中国联通2027校园招聘,杭州-萧山区,人力资源专员/助理,2026-12-05,明确,https://www.iguopin.com/job/detail?id=217156016695935963,https://www.iguopin.com/job/detail?id=217156016695935963,国聘官方企业校招专场：中国联合网络通信集团有限公司,open,2026-09-10 01:11:22,
guopin-217155672511349724,股权管理岗(J10900),中国联合网络通信集团有限公司,中国联合网络通信集团有限公司,通信运营,校招,中国联通2027校园招聘,杭州-萧山区,财务管理/顾问,2026-12-05,明确,https://www.iguopin.com/job/detail?id=217155672511349724,https://www.iguopin.com/job/detail?id=217155672511349724,国聘官方企业校招专场：中国联合网络通信集团有限公司,open,2026-09-10 01:11:22,
